date,open,high,low,close,adjClose,volume
2023-08-08,4090.000000,4109.500000,4068.500000,4087.500000,4087.500000,5476805
2023-08-09,4095.500000,4116.000000,4088.500000,4111.500000,4111.500000,4969642
2023-08-10,4119.000000,4140.500000,4110.500000,4140.500000,4140.500000,2453521
2023-08-11,4126.500000,4135.500000,4075.000000,4082.500000,4082.500000,5196039
2023-08-14,4095.500000,4109.000000,4071.000000,4096.000000,4096.000000,1980002
2023-08-15,4096.000000,4096.500000,4030.000000,4049.000000,4049.000000,2003031
2023-08-16,4046.500000,4061.000000,4028.000000,4036.500000,4036.500000,3808109
2023-08-17,4030.000000,4035.000000,4004.000000,4016.000000,4016.000000,2669827
2023-08-18,3996.000000,4004.399902,3962.000000,3980.000000,3980.000000,4704126
2023-08-21,3982.500000,4013.500000,3959.500000,3969.000000,3969.000000,2750266
2023-08-22,3958.500000,3977.500000,3943.500000,3961.500000,3961.500000,4904200
2023-08-23,3971.000000,4022.000000,3963.000000,3997.500000,3997.500000,2825312
2023-08-24,4005.000000,4039.500000,4000.000000,4019.000000,4019.000000,1209421
2023-08-25,4033.500000,4058.000000,4025.500000,4036.500000,4036.500000,1873302
2023-08-29,4037.000000,4080.000000,4037.000000,4061.000000,4061.000000,5529493
2023-08-30,4068.000000,4078.500000,4047.500000,4065.500000,4065.500000,1769849
2023-08-31,4065.000000,4084.500000,4042.000000,4042.000000,4042.000000,3987051
2023-09-01,4030.000000,4043.604980,4011.500000,4029.000000,4029.000000,2065549
2023-09-04,4035.500000,4055.500000,4021.500000,4026.000000,4026.000000,990048
2023-09-05,4011.500000,4029.000000,3986.000000,3994.500000,3994.500000,2556140
2023-09-06,3983.500000,3990.500000,3929.000000,3981.500000,3981.500000,2146560
2023-09-07,3982.000000,4031.500000,3960.710938,4019.500000,4019.500000,2489946
2023-09-08,4036.000000,4047.000000,4004.000000,4042.500000,4042.500000,7101500
2023-09-11,4049.000000,4063.000000,4022.000000,4048.500000,4048.500000,2756813
2023-09-12,4056.500000,4078.000000,4036.000000,4036.000000,4036.000000,2408351
2023-09-13,4033.000000,4042.500000,4009.500000,4033.000000,4033.000000,3122584
2023-09-14,4039.000000,4072.500000,4014.000000,4063.500000,4063.500000,2928266
2023-09-15,4085.500000,4127.000000,4078.000000,4103.500000,4103.500000,9074970
2023-09-18,4093.000000,4127.000000,4072.500000,4103.000000,4103.000000,3645192
2023-09-19,4096.500000,4103.500000,4062.500000,4078.500000,4078.500000,2719513
2023-09-20,4102.000000,4131.000000,4093.500000,4115.500000,4115.500000,4196172
2023-09-21,4097.500000,4166.000000,4093.000000,4135.000000,4135.000000,3313371
2023-09-22,4120.000000,4149.500000,4100.000000,4116.000000,4116.000000,5684860
2023-09-25,4114.500000,4130.000000,4073.000000,4081.000000,4081.000000,12234995
2023-09-26,4080.500000,4110.000000,4061.500000,4064.000000,4064.000000,2822892
2023-09-27,4073.500000,4085.332031,4026.500000,4032.000000,4032.000000,4699412
2023-09-28,4031.000000,4041.000000,3982.500000,4034.500000,4034.500000,4293631
2023-09-29,4049.500000,4091.000000,4044.000000,4062.000000,4062.000000,4802243
2023-10-02,4068.500000,4093.000000,4016.000000,4024.500000,4024.500000,9857076
2023-10-03,4042.000000,4074.500000,4040.500000,4053.500000,4053.500000,4012449
2023-10-04,4038.000000,4058.500000,4004.774902,4012.500000,4012.500000,8063805
2023-10-05,4029.000000,4061.500000,4021.500000,4030.500000,4030.500000,3088352
2023-10-06,4031.000000,4036.000000,3886.000000,3925.500000,3925.500000,14591449
2023-10-09,3929.500000,3954.500000,3906.500000,3909.500000,3909.500000,5172128
2023-10-10,3930.000000,3975.500000,3885.000000,3953.500000,3953.500000,4753203
2023-10-11,3910.000000,3960.500000,3900.500000,3930.500000,3930.500000,3585146
2023-10-12,3931.500000,3974.500000,3914.000000,3924.000000,3924.000000,4850715
2023-10-13,null,null,null,null,null,null
2023-10-16,3937.500000,3941.500000,3901.500000,3938.000000,3938.000000,5389702
2023-10-17,3944.500000,3998.500000,3937.500000,3975.500000,3975.500000,8317580
2023-10-18,3985.500000,4005.000000,3956.500000,3987.500000,3987.500000,4760540
2023-10-19,3970.500000,4032.000000,3945.000000,3988.500000,3988.500000,4043837
2023-10-20,3986.000000,4021.500000,3976.500000,3990.000000,3990.000000,5618653
